Nama_Resep,Bahan_Bahan,Cara_Membuat,Jenis_Resep,Bahan_1,Bahan_2,Bahan_3,Bahan_4,Bahan_5
bacem tahu tempe ala amy kekey,"1 papan tempe ukuran agak besar--15 biji tahu setengah matang--5 biji cabe merah--10 bawang merah uk agak besar--5 biji bawang putih--2 butir kemiri ukuran yg agak besar--1/5 sdm lada--Sedikit jahe--Sedikit kunyit--1 bungkus santen suncara--Sedikit asem jawa--sesuai selera Gula merah--sesuai selera Kecap manis--Garam,micin dan penyedap rasa--","Haluskan bawang putih, bawang merah, cabe merah, kemiri,jahe,kunyit, dan lada--Setelah bumbu halus,tumis bumbu, masukan garam micin,gula merah dan asam jawa.--Setelah bumbu agak kental.Lalu masukkan tempe dan tahu di dalam tumisan bumbu--Setelah 1menit, masukkan santan. Tutup dan biarkan agak kering--Masukan kecap manis lalu tutup hingga bumbu meresap--Beberapa menit sudah matikan kompor dan hidangkan sesuai selera--",tempe,tempe,tahu,cabai,bawang merah,bawang putih
bakso sapi udang cah paprika,"6 butir bakso sapi dibelah dua--10 Udang merah kupas--2 buah Paprika ukuran medium iris kasar--1 Tomat buah (beef steak tomato) iris kasar--2 siung Bawang putih iris halus--1/2 Bawang Bombay ukuran besar--1 sdt Angciu (arak china)--2 sdt Saus Tiram--1 sdt Saus Sambal ABC--1 sdt Saus Tomat--1/2 sdt Kecap ikan--1/2 sdt Royco rasa sayuran--4 batang Daun Bawang iris kasar--1/2 cup Air matang--Sejumput Garam--1/2 sdt Cabai kering (bila suka)--1,5 Minyak Goreng--","Tumis bawang putih, bombay, irisan paprika & bakso. Hingga paprika sedikit melunak. Tuangkan angciu sambil aduk. Masukkan kecap & saus. Aduk rata.--Tuangkan air hangat perlahan. Taburkan bumbu-bumbu bubuk. Masukkan irisan tomat bersama udang. Masak sebentar. Jangan sampai udang over cooked & mengeras. Tabur cabai kering (optional).--Tambahkan irisan daun bawang. Aduk rata. Matikan api. Hidangkan segera--",udang,bakso,udang,paprika,tomat,bawang putih
bakwan jagung sayuran udang,100 gram taoge--1 buah wortel potong dadu kecil2--1 buah jagung disisir--5 buah buncis iris tipis2--1/4 buah kembang kol / brokoli.ambil bunganya iris halus--2 lembar daun bawang iris halus--Sedikit kol iris tipis2--10 buah udang besar kupas iris kecil2--1 butir telur--1/4 kg terigu--secukupnya Air--Minyak goreng untuk menggoreng--Bumbu yg dihaluskan :--1 sdt lada--4 siung bawang putih--7 butir kemiri--secukupnya Garam--,Cuci besih semua bahan lalu tiriskan--Masukkan bumbu yg sudah dihaluskan ke dlm mangkuk besar.masukkan terigu aduk2--Masukkan semua sayuran & udang.tambahkan telur & garam aduk2..bila terlalu kental tambahkan sedikit air hingga adonan tidak terlalu encer..--Panaskan minyak goreng dlm wajan.lalu goreng bakwan hingga berwarna kuning keemasan.angkat & tiriskan--Siap dihidangkan dgn saus sambal / cabe rawit..--Bakwan ini bagus buat anak2 yg tidak terlalu doyan sayuran...--,udang,jagung,wortel,tauge,buncis,kembang kol
bakwan jagung udang,3 Jagung manis--1/2 kg Udang--1/2 Tahu--1 Telur--Wortel (optional)--Duo bawang--Daun bawang--Lada hitam--Merica--Garam--Gula--Tepung bakwan--secukupnya Air dingin--,"Serut semua jagung, potong tahu,potong udang yg sudah dibersihkan,telur, tepung bakwan masukkan ke wadah dan dikocok menggunakan sendok/garpu,tambahkan air dingin sampai sedikit mengental--Kemudian iris tipis bawang merah, bawang putih,daun bawang, wortel dan masukkan semua ke dalam wadah dari bahan pertama--Taburkan sedikit garam, gula,lada hitam, dan merica.--Aduk semua campuran..--Panaskan minyak, then masukkan semua bahan tadi ke dalam minyak pandas--And enjoy ur meal buibu ♥️🙏🏻--",udang,jagung,udang,tahu,telur,wortel
balado jengkol tempe pedas,250 gr Jengkol--1 bks kecil Tempe--15 biji Cabai merah--5 biji bawang merah--4 siung bawang putih--1 buah tomat--Minyak goreng--secukupnya Garam--secukupnya Penyedap rasa--Sejimpit gula--,"Iris"" jengkol lalu cuci bersih tiriskan lalu goreng dengan sendirinya kulit akan terkelupas--Iris"" juga tempe lalu goreng--Ulek/blender bahan"" yg buat bumbu tdi--Lalu tumis dengan minyak secukupnya setelah bumbu matang koreksi rasa lalu masuki jengkol dan tempe nya setelah itu matikan api...--Angkat taruh d mangkuk. Siap deh untuk di nikmati--",tempe,jengkol,tempe,cabai,bawang merah,bawang putih
balado tahu tempe udang,"1 papan tempe, potong kubus--5 buah tahu putih, potong kubus--250 gr udang kecil--Jeruk nipis--5 buah bawang merah--2 buah bawang putih--7 buah cabai merah--Garam--Kaldu bubuk--Gula--1/4 sdt cuka--","Bersihkan udang, kucuri air jeruk nipis dan garam. Biarkan 5 mebit lalu cuci bersih.--Goreng udang, sisihkan. Goreng juga tempe dan tahu di minyak bekas udang.--Sisakan sedikit minyak bekas menggoreng di wajan. Sementara itu haluskan duo bawang dan cabe, lalu tumis di minyak tadi sampai wangi--Tambahkan cuka, lalu koreksi rasa dg gula dan garam sesuai selera--Masukkan tempe, tahu dan udang yg tah digoreng, aduk rata. Siap dihidangkan--",tempe,tempe,tahu,udang,cabai,bawang merah
balado telur bumbu rujak,6 butir telur ayam kampung/negri yang sudah direbus dan dikupas--2 buah tomat merah--10 buah cabe rawit kecil atau sesuai selera--6 siung bawang merah--3 siung bawang putih--3 cm kunyit--1 cm kencur--3 lembar daun jeruk--2 lembar daun salam--2 buah sereh--Daun kemangi secukupnya saya pakai seperempat ikat--1/4 keping gula jawa--sesuai selera Garam--1 sdt merica bubuk--2 buah daun bawang iris--Minyak goreng secukupnya untuk menumis--,"Haluskan tomat, cabe, bawang merah, bawang putih, kencur, kunyit. Saya menggunakan blender dengan sedikit air--Panaskan minyak goreng untuk menumis, masukkan telur terlebih dahulu hingga telur agak kecoklatan.--Masukkan bumbu halus ke dalam telur di wajan, tambahkan garam, gula jawa, daun jeruk, daun salam, sereh, merica bubuk, daun bawang dan daun kemangi.--Tunggu hingga bumbu mengental. Sajikan bersama bawang goreng.--",telur,telur,tomat,cabai,bawang merah,bawang putih
balado telur ceplok,"5 butir telur (diceplok)--1 bh tomat--3 bh bawang putih--4 bh bawang merah--Cabai secukupnya (sesuai selera)--secukupnya Garam, gula & lada--Daun bawang (iris2)--1 sdm kecap--secukupnya Air--","Tumis bawang putih,bawang merah,cabai dan irisan tomat--Setelah harum tambahkan air secukupnya, kemudian masukkan telur--Tambahkan garam,gula, lada dan kecap aduk dan masak hingga bumbu meresap--Taburi dengan daun bawang--",telur,telur,tomat,cabai,bawang merah,bawang putih
balado telur kentang petai,"5 butir telor ayam,rebus, kupas kulitnya--3 buah kentang, kupas, potong memanjang--10 buah cabe rawit merah--1 papan pete, kupas, belah 2, bersihkan, sisihkan--5 siung bawang merah--5 siung bawang putih--2 butir kemiri--1 buah tomat merah ukuran sedang, cuci, potong2--Daun salam--1 ruas jari lengkuas, bersihkan, geprek--secukupnya Garam--secukupnya Gula pasir--Minyak sayur--","Haluskan bawang putih, bawang merah, kemiri, cabe rawit, dan tomat.--Goreng kentang hingga berwarna coklat keemasan, angkat, tiriskan. Sisihkan.--Tuang minyak sayur, tumis bumbu halus dengan api kecil agar tdk gosong, jika sudah mulai tercium harum, tambahkan lengkuas dan daun salam, aduk kembali. Koreksi rasa dengan menambahkan garam dan gula secukupnya. Aduk kembali hingga rata.--Masukan telur yg sudah direbus, kentang yg sudah digoreng, dan irisan pete, aduk-aduk.--Goreng sebentar agar bagian luar telur agak kering dan bumbu menempel di telur, kentang,dan pete. Angkat, Sajikan--",telur,telur,kentang,cabai,petai,bawang merah
balado telur tahu,1/2 kg telur--1 bgks tahu--4 buah bawang putih--5 buah bawang merah--10 buah cabe kriting--5 buah cabe rawit--5 buah kemiri--1 buah tomat--1 siung jahe--1 potong laos--1 btg sere--2 lmbr daun salam--2 lmbr daun jeruk--1/2 sdm garam--2 butir gula jawa--,"Rebus telur sampe matang angkat tiriskan, kupas lalu digoreng--Goreng tahu agar tidak mudah hancur--Haluskan semua bumbu (bawang merah, bawang putih, cabai, kemiri, tomat) setelah semua halus kemudian memarkan jahe, laos dan sere--Tumis bumbu yg dihaluskan td sampai warna berubah agak kemerahan dan harum lalu tambahkan 1 gelas air--Kemudian masukkan daun salam dan daun jeruk..lalu tambahkan garam dan gula jawa, aduk dan tes rasa--Yg terakhir masukkan telur dan tahu yg sudah digoreng td dan tunggu sampai bumbu meresap dan berkurang airnya..--Balado telur tahu siap dinikmati--",telur,telur,tahu,cabai,bawang merah,bawang putih
