NAMA_RESEP,BAHAN,CARA_MEMBUAT,Jenis_Resep
Resep Pisang Nugget Ala Sajiku®,"5 bh Pisang kepok besar
1 bks Sajiku® Tepung Manis Serbaguna 75gr
100 gr Tepung panir
500 ml Minyak goreng
2 bh Telur kocok
Cokelat leleh
Meses5 bh Pisang kepok besar1 bks Sajiku® Tepung Manis Serbaguna 75gr100 gr Tepung panir500 ml Minyak goreng2 bh Telur kocokCokelat lelehMeses","Langkah 1Siapkan wadah, haluskan pisang menggunakan garpu, tambahkan Sajiku® Tepung Manis Serbaguna, aduk rata.Langkah 2Masukkan adonan pisang ke dalam wadah tahan panas yang telah di olesi minyak, kukus hingga matang selama 30 menit, angkat.Langkah 3Potong-potong nugget pisang. Masukkan potongan pisang ke dalam telur kocok, lalu gulingkan di atas tepung panir.Langkah 4panaskan minyak goreng, goreng hingga nugget pisang matang, angkat, dan beri topping sesuai selera.",buah
Resep Pisang Goreng Ala Sajiku®,"7 bh Pisang kepok
1 bks Sajiku® Tepung Manis Serbaguna 75gr
85 ml Air
600 ml Minyak goreng7 bh Pisang kepok1 bks Sajiku® Tepung Manis Serbaguna 75gr85 ml Air600 ml Minyak goreng",Langkah 1Iris pisang kepok bentuk kipas.Langkah 2Campur 1 bungkus 75gr Sajiku® Tepung Manis dengan 85ml air.Langkah 3Celup pisang satu persatu hingga terbalut adonanLangkah 4Goreng dalam minyak panas hingga kuning keemasan (5-7 menit). Angkat dan sajikan,buah
Resep Keripik Pisang Sajiku®,"- 2 bh Pisang Uli
- 1 bks Sajiku® Tepung Bumbu 80 gr
- 700 ml Minyak Goreng- 2 bh Pisang Uli- 1 bks Sajiku® Tepung Bumbu 80 gr- 700 ml Minyak Goreng","Langkah 1Iris pisang memanjang, sisihkan.Langkah 2Masukkan 1 bks Sajiku® Tepung Bumbu ke dalam wadah, masukan pisang, gulingkan dan sisihkan.Langkah 3Panaskan minyak goreng, masukkan adonan pisang, goreng hingga matang dan berwarna kuning keemasan, angkat dan sajikan.",buah
Resep Pisang Nanas Caramel Mayo,"- 6 bh Kulit Lumpia Besar
- 1 bh Pisang Raja
- 1/2 bh Nanas
- 100 gr Gula Pasir
- 1 bks Mayumi®
- 700 ml Minyak Goreng
- 2 sdm Air- 6 bh Kulit Lumpia Besar- 1 bh Pisang Raja- 1/2 bh Nanas- 100 gr Gula Pasir- 1 bks Mayumi®- 700 ml Minyak Goreng- 2 sdm Air","Langkah 1Potong pisang menjadi 2 bagian memanjang, potong nanas menjadi 4 bagian memanjang, sisihkan.Langkah 2Ambil satu lembar kulit lumpia, isi dengan pisang atau nanas, lalu bubuhkan Mayumi® di atasnya.Langkah 3Gulung kulit lumpia dan rekatkan dengan sedikit air.Langkah 4Panaskan minyak goreng, masukkan lumpia isi pisang dan nanas.Langkah 5Taburi dengan gula pasir goreng hingga kuning kecoklatan dan gula menempel pada kulit lumpia, angkat, sajikan.",buah
Resep Pisang Crispy,"- 1 bh Pisang Kepok
- 1 bks Sajiku® Tepung Bumbu 80 gr
- 700 ml Minyak Goreng
- 4 sdmAir Es- 1 bh Pisang Kepok- 1 bks Sajiku® Tepung Bumbu 80 gr- 700 ml Minyak Goreng- 4 sdmAir Es","Langkah 1Iris pisang memanjang, sisihkan.Langkah 2Adonan basah: campurkan 2 sdm Sajiku® Tepung Bumbu dan air es, aduk rata.Langkah 3Adonan kering: masukkan sisa Sajiku® Tepung Bumbu di wadah lainnya.Langkah 4Masukkan pisang ke adonan basah, gulingkan, angkat, masukkan ke dalam adonan kering, gulingkan sambil diremas-remas hingga terbentuk kulit tepung yang keriting, sisihkan.Langkah 5Panaskan minyak goreng, masukkan pisang, goreng hingga matang dan berwarna kuning keemasan.",buah
Resep Ayam Crispy Saus Lemon,"- 4 bh Sayap Ayam
- 1 sdm Tepung Maizena
- 1/2 sdm Lada Hitam
- 1/2 sdt Garam
- 1 bks Sajiku® Tepung Bumbu Golden Crispy 80 gr
- 2 sdm Madu- 1/2 sdm Perasan Jeruk Nipis
- 700 ml Minyak Goreng
- 60 ml Air- 4 bh Sayap Ayam- 1 sdm Tepung Maizena- 1/2 sdm Lada Hitam- 1/2 sdt Garam- 1 bks Sajiku® Tepung Bumbu Golden Crispy 80 gr- 2 sdm Madu- 1/2 sdm Perasan Jeruk Nipis- 700 ml Minyak Goreng- 60 ml Air","Langkah 1Buat adonan basah: masukkan 2 sdm Sajiku® Tepung Bumbu Golden Crispy, dan air, aduk rata.Langkah 2Buat adonan kering : Masukkan sisa Sajiku® Tepung Bumbu Golden Crispy ke dalam wadah lainnya.Langkah 3Gulingkan ayam ke dalam adonan kering, ketuk-ketuk. Celupkan ayam ke dalam adonan basah hingga rata, tiriskan sebentar. Lalu gulingkan kembali ke adonan kering, remas-remas dan ketukkan.Langkah 4Panaskan minyak goreng, masukkan ayam, goreng selama 15 menit hingga matang dan berwarna kuning kecoklatan, angkat.Langkah 5Buat saus : Masukkan perasan jeruk nipis, madu, lada hitam, garam, dan tepung maizena, masak hingga mendidih dan mengental, angkat, sajikan bersama ayam.",buah
Resep Tumis Brokoli Wortel Jamur Champignon ala SAORI®,"150 gr Brokoli
100 gr Wortel
100 gr Jamur champignon
50 gr Bawang Bombay
15 gr Bawang putih
10 gr Cabai merah besar
10 gr SAORI® Saus Tiram
15 gr Minyak sayur150 gr Brokoli100 gr Wortel100 gr Jamur champignon50 gr Bawang Bombay15 gr Bawang putih10 gr Cabai merah besar10 gr SAORI® Saus Tiram15 gr Minyak sayur","Langkah 1Kupas wortel, cuci lalu potong menyerong. Potong brokoli kemudian rendam dalam air garam. Cuci jamur champignon kemudian potong tipis lalu sisihkan.Langkah 2Kupas bawang putih dan bawang Bombay. Cincang bawang putih lalu sisihkan. Potong bawang Bombay memanjang. Cuci cabai merah besar lalu potong menyerong.Langkah 3Panaskan minyak diatas wajan lalu tumis bawang putih hingga harum, tambahkan bawang Bombay aduk hingga setengah layu.Langkah 4Masukan wortel, brokoli dan cabai merah besar, aduk lalu tambahkan SAORI® dan sedikit air. Tumis hingga agak layu lalu sajikan.",buah
Resep Sup Bayam Wortel ala Masako®,"350 gr Bayam
100 gr Wortel
100 gr Jagung potong
1 sdm Masako® Rasa Gurih Pas
1200 ml Air
3 btr Bawang merah iris
2 btr Bawang putih iris
1 sdm Minyak sayur350 gr Bayam100 gr Wortel100 gr Jagung potong1 sdm Masako® Rasa Gurih Pas1200 ml Air3 btr Bawang merah iris2 btr Bawang putih iris1 sdm Minyak sayur","Langkah 1Panaskan minyak tumis bawang merah dan putih hingga harum lalu masukan wortel dan jagung.Langkah 2Tambahkan air, Masako® Rasa Gurih Pas, dan bayam masak hingga matang dan sajikan selagi hangat.",buah
Resep Tumis Labu Siam Wortel ala AJI-NO-MOTO®,"200 gr Labu siam kecil, potong korek api100 gr Wortel, potong korek api
2 sdm minyak goreng
4 siung bawang merah, iris
2 siung bawang putih, iris
1 buah cabe merah tanpa biji, iris
2 lembar daun salam
2 cm lengkuas, geprek
3 gr Garam
2 gr Ajinomoto
¼ sdt Lada bubuk200 gr Labu siam kecil, potong korek api100 gr Wortel, potong korek api2 sdm minyak goreng4 siung bawang merah, iris2 siung bawang putih, iris1 buah cabe merah tanpa biji, iris2 lembar daun salam2 cm lengkuas, geprek3 gr Garam2 gr Ajinomoto¼ sdt Lada bubuk","Langkah 1Tumis bawang merah, dan bawang putih, irisan cabe, lengkuas, daun salam hingga harum. Tambahkan sedikit airLangkah 2Masukan Wortel dan Labu siam aduk rata. Tambahkan Garam dan Ajinomoto, Lada bubuk aduk rata Masak hingga matang",buah
Resep Cah Brokoli Wortel Jamur ala AJI-NO-MOTO®,"100 gr Brokoli
75 gr Wortel
75 gr Jamur Kuping
1 sdm minyak goreng
2 siung bawang putih, geprek cincang
½ buah bawang Bombay, bagi 4
1 sdm gula pasir
2.5 gr garam
2 gr MSG Ajinomoto
½ sdt merica bubuk
½ gelas air
½ sdm tepung Maizena100 gr Brokoli75 gr Wortel75 gr Jamur Kuping1 sdm minyak goreng2 siung bawang putih, geprek cincang½ buah bawang Bombay, bagi 41 sdm gula pasir2.5 gr garam2 gr MSG Ajinomoto½ sdt merica bubuk½ gelas air½ sdm tepung Maizena","Langkah 1Tumis bawang Bombay, dan bawang putih hingga harumLangkah 2Tambahkan sedikit air. Masukan wortel, Jamur masak hingga setengah matang masukan brokoli.Langkah 3Tambahkan Gula pasir, Garam, Merica bubuk, MSG Ajinomoto aduk rata.Langkah 4Setelah brokoli setengah matang, larutkan tepung maizena, aduk rata. Masak hingga matang.",buah
